dataset,dimension,graph_type,vector_type,recall@100,recall@1,search_time_s,throughput_qps,num_queries,ef_search
sift,128,float,float,0.991831,0.9923,7.2,1389.0,10000,256
bigAnn-10M,128,float,float,0.972681,0.9981,28.58,349.8,10000,256
open-ai-1536-temp,1536,float,float,0.97751,0.994,2.02,494.1,1000,256
ms-marco-384,384,float,float,0.982204,0.99676,44.47,1124.5,50000,256
cohere-768-ip,768,float,float,0.912707,0.9846,13.3,751.7,10000,256
cohere-768-l2,768,float,float,0.941177,0.9904,14.47,691.0,10000,256
gist,960,float,float,0.90887,0.981,1.96,511.0,1000,256
